node,mean,median,sd,n,CI_upper,CI_lower,notes
686,3.5100098,3.511269,0.063418253,18005,3.510936147,3.509083453,
687,3.498721463,3.499686,0.066649812,18005,3.499695014,3.497747913,
688,3.499502652,3.49978,0.069541857,18005,3.500518446,3.498486857,
689,3.509605587,3.511038,0.073243499,18005,3.510675451,3.508535723,
690,3.52758476,3.526417,0.026901064,18005,3.527977702,3.527191817,
691,3.477052849,3.475932,0.05718332,18005,3.477888123,3.476217576,
692,3.500601912,3.500228,0.069169498,18005,3.501612267,3.499591556,
693,3.457646651,3.456532,0.081929538,18005,3.458843392,3.456449911,
694,3.51704106,3.516731,0.055938608,18005,3.517858153,3.516223968,
695,3.516777658,3.51381,0.055412799,18005,3.51758707,3.515968246,
696,3.52358452,3.525189,0.06894126,18005,3.524591541,3.522577498,
697,3.534927718,3.534642,0.069529852,18005,3.535943337,3.533912099,
698,3.519536759,3.519964,0.067985189,18005,3.520529815,3.518543703,
699,3.503207753,3.502533,0.03066538,18005,3.50365568,3.502759825,
700,3.503175705,3.503008,0.030719564,18005,3.503624424,3.502726986,
701,3.50864731,3.504855,0.077632387,18005,3.509781282,3.507513338,
702,3.514260883,3.514751,0.07629651,18005,3.515375342,3.513146424,
703,3.5129735,3.508798,0.06463068,18005,3.513917557,3.512029443,
704,3.513577125,3.509704,0.065366496,18005,3.51453193,3.51262232,
705,3.520009901,3.519715,0.06312777,18005,3.520932005,3.519087797,
706,3.508545274,3.50616,0.063398,18005,3.509471325,3.507619223,
707,3.517963612,3.515686,0.077046554,18005,3.519089027,3.516838197,
708,3.508784191,3.508962,0.048847783,18005,3.509497708,3.508070674,
709,3.478160128,3.47754,0.083014085,18005,3.47937271,3.476947545,
710,3.47355277,3.472889,0.062652236,18005,3.474467928,3.472637612,
711,3.470026372,3.470535,0.061246373,18005,3.470920994,3.469131749,
712,3.470527345,3.471288,0.049503338,18005,3.471250438,3.469804252,
713,3.476725645,3.477788,0.056913499,18005,3.477556977,3.475894312,
714,3.475689406,3.474723,0.052114768,18005,3.476450643,3.474928168,
715,3.515960929,3.516902,0.044878781,18005,3.516616471,3.515305387,
716,3.516034756,3.516738,0.045180819,18005,3.51669471,3.515374802,
717,3.517501595,3.515204,0.064387738,18005,3.518442103,3.516561087,
718,3.519444944,3.517999,0.080413283,18005,3.520619537,3.518270351,
719,3.504605794,3.50095,0.087286424,18005,3.505880782,3.503330805,
720,3.505742094,3.504442,0.097766942,18005,3.507170171,3.504314017,
721,3.483332006,3.481515,0.073200174,18005,3.484401237,3.482262775,
722,3.471458368,3.468506,0.061145506,18005,3.472351517,3.470565218,
723,3.468205981,3.466118,0.058956378,18005,3.469067154,3.467344808,
724,3.443233499,3.446123,0.076456502,18005,3.444350295,3.442116703,
725,3.453857465,3.453154,0.057117133,18005,3.454691772,3.453023158,
726,3.461486813,3.462278,0.06545248,18005,3.462442874,3.460530752,
727,3.462352089,3.463236,0.065819459,18005,3.46331351,3.461390667,
728,3.529076674,3.528543,0.053567414,18005,3.529859131,3.528294218,
729,3.525969184,3.520772,0.035122537,18005,3.526482217,3.52545615,
730,3.521390621,3.525072,0.02461438,18005,3.521750162,3.52103108,
731,3.512148202,3.513548,0.02926395,18005,3.512575659,3.511720745,
732,3.52160077,3.526303,0.024666065,18005,3.521961066,3.521240474,
733,3.526114113,3.520881,0.035214713,18005,3.526628493,3.525599734,
734,3.526280188,3.523177,0.038342309,18005,3.526840252,3.525720124,
735,3.530541816,3.52934,0.042873887,18005,3.531168073,3.529915559,
736,3.561240875,3.562089,0.049912764,18005,3.561969948,3.560511802,
737,3.439549992,3.439005,0.064239248,18005,3.440488332,3.438611653,
738,3.452766801,3.448734,0.055996319,18005,3.453584736,3.451948865,
739,3.452753475,3.448059,0.055962187,18005,3.453570912,3.451936038,
740,3.439020438,3.443477,0.080580948,18005,3.44019748,3.437843396,
741,3.400156347,3.395402,0.088873774,18005,3.401454522,3.398858173,
742,3.463535841,3.461833,0.048359647,18005,3.464242228,3.462829454,
743,3.462143049,3.461559,0.060721212,18005,3.463030001,3.461256098,
744,3.449267745,3.450615,0.094762518,18005,3.450651936,3.447883553,
745,3.461766561,3.459215,0.073635387,18005,3.462842149,3.460690973,
746,3.463620169,3.462372,0.048401565,18005,3.464327168,3.462913169,
747,3.434586218,3.430608,0.107226709,18005,3.436152473,3.433019963,
748,3.4889253,3.490975,0.078726378,18005,3.490075252,3.487775348,
749,3.438456321,3.434278,0.098066132,18005,3.439888768,3.437023874,
750,3.429179726,3.424942,0.094679874,18005,3.43056271,3.427796741,
