"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"292","Neolamprologus christyi","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.92879009857796,3.07052922525882,-0.0845503817048999,0.371914690288044,0.061805360684854,0.0393206748216761,-2.55060709884628e-11
"315","Neolamprologus petricola","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.81832731606907,3.22650215255955,-0.846591684075835,0.544508220554115,0.066366639994261,0.0268802124782935,-2.54856102641121e-11
"306","Neolamprologus modestus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.79428088529139,3.30608558548119,-0.70216200261759,0.663259390193937,0.0645711553041813,0.0314764875053681,-2.5459896384821e-11
"307","Neolamprologus mondabu","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-2.80641866553828,2.86768858046687,0.389279882135507,0.2903751496692,0.0465901563721569,0.047220182147049,-2.55150314234392e-11
"332","Neolamprologus tetracanthus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.46088474410526,3.5823154811552,-0.0900568798374559,0.666757377038593,0.0637687157429758,0.0431885470714038,-2.5510760884356e-11
"334","Neolamprologus toae","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.34707405329011,3.58854210478878,0.550120968620279,0.700116112510499,0.0439443811777409,0.0644502715760567,-2.56262914660503e-11
"565","Variabilichromis moorii","Variabilichromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.28875482584264,3.10561214582612,-0.608887955373831,0.71557747257813,0.0691551473664823,0.0398770761681661,-2.55348623605203e-11
"320","Neolamprologus sexfasciatus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.53219781866289,4.4239382258064,0.758867898963571,0.926287038203562,0.0516992055987427,0.0637979562121627,-2.5603531283625e-11
"335","Neolamprologus tretocephalus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.71847448792528,3.67983261650343,0.870183816588486,0.638154494819348,0.0531679013988836,0.0659295639778309,-2.55924699797598e-11
"285","Neolamprologus brevis","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.62453517847734,3.90384515960493,0.43466015999168,0.543002570956888,0.0402329768874659,0.0604891513316701,-2.55655703568339e-11
"288","Neolamprologus calliurus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.97506059727126,3.81525505551956,0.151065695045055,0.284794442174733,0.0378011803077715,0.0526868337044061,-2.5599371913545e-11
"210","Lamprologus callipterus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",-2.02280549996991,6.30798674838212,2.2806283562203,0.402313259248729,0.0591401500322128,0.0150669329336515,-2.5490283136405e-11
"215","Lamprologus ocellatus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",0.222025422155086,2.87198311743105,3.24326453134393,-0.390015158446835,-0.0095418758234976,0.0506607263821729,-2.56119642452321e-11
"220","Lamprologus speciosus","Lamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",0.182867655380054,2.634941602192,3.33217227245673,-0.39072949232835,-0.0103824161712002,0.0579290170398678,-2.56235510524625e-11
"5","Altolamprologus calvus","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.452716337328966,3.77024573145334,1.32214357885667,0.547574067646214,0.0336027650235461,0.0610241603606172,-2.55734738861271e-11
"6","Altolamprologus compressiceps","Altolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.254583696598578,3.91245106312045,1.19375228010317,0.712077820562123,0.042824754292801,0.0562916909734429,-2.56170342415489e-11
"227","Lepidiolamprologus mimicus","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-4.02329750334242,4.24504212454256,0.470942226467396,0.431625198005136,0.059097117770258,0.0555914866482925,-2.55174042761138e-11
"229","Lepidiolamprologus profundicola","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-4.10467704509795,4.79007743093701,0.199991825737698,0.705998326455628,0.0779007071251622,0.0560974079877273,-2.55575633802796e-11
"225","Lepidiolamprologus kendalli","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-4.11551764654608,2.90522858337869,0.539851084688873,0.267898305673844,0.0380676140537711,0.042344770618586,-2.55306230526366e-11
"228","Lepidiolamprologus nkambae","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-3.81619076016809,3.81613565024247,1.27861477198999,0.223114378313744,0.0483161408552172,0.0676014008576528,-2.55678753135953e-11
"223","Lepidiolamprologus elongatus","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","piscivore",-3.14395663228078,4.18482187325968,0.617904083635846,0.562399244519677,0.0559923493723074,0.0610411597955099,-2.5566391505656e-11
"224","Lepidiolamprologus kamambae","Lepidiolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","pelagic","piscivore",-4.13455925763634,3.21132366836522,0.553087733754482,0.278215756743312,0.0430249597011606,0.0458545419045461,-2.55204081523466e-11
"284","Neolamprologus boulengeri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.87160166847429,3.76978316202979,1.29237778715327,0.385641070736589,0.0354633074712442,0.0659205447881212,-2.55640088622109e-11
"305","Neolamprologus meeli","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.57935976560881,3.69883890232175,0.999487719504328,0.505266615388963,0.0367166583080788,0.0631582568595991,-2.5536887647678e-11
